"MSSV";"name";"gioiTinh";"birthday";"khoaVien";"khoa";"queQuan";"Phong_tenPhong";"anh"
20110110;"ngu văn ngốc";"nữ";"1991-01-09";"cơ khí";56;"Lào Cai";"B10-312";"����"
20112099;"Lý Hoàng Nam";"nữ";"1990-09-29";"đtvt";56;"Phan Thiết";"B9-103";""
20120011;"Nguyễn Thanh Bình";"nam";"1994-04-30";"tự động hóa";57;"Hà Tĩnh";"B9-201";""
20120013;"Lê Tuấn";"nam";"1994-03-19";"dtvt";57;"Nam Định";"B6-104";""
20120014;"Trần Đại Nghĩa";"nữ";"1994-11-22";"toán tin ƯD";57;"Thái Nguyên";"B8-110";""
20121111;"Tạ Anh Tuấn";"nam";"1995-11-21";"đtvt";57;"Hà Tây";"B9-201";""
20130001;"Nguyễn Văn An";"nam";"1994-03-19";"cntt";58;"Hải phòng";"B6-101";""
20130003;"Trần Văn Toàn";"nam";"1994-12-11";"ngoại ngữ";58;"Nghệ An";"B8-110";""
20130004;"Lê Văn Tuấn";"nam";"1994-05-11";"dtvt";58;"Thanh Hóa";"B9-201";""
20130005;"Nguyễn Thị Hoài Anh";"nữ";"1994-03-19";"dtvt";58;"Lào Cai";"B10-211";""
20130006;"Nguyễn Ngọc Linh";"nữ";"1994-08-11";"cntt";58;"Lạng Sơn";"B10-312";""
20130007;"Phạm Ngọc Nam";"nữ";"1994-12-11";"điện";58;"Hải Phòng";"B10-312";""
20130008;"Nguyễn Thị Văn";"nữ";"1994-03-07";"tự động hóa";58;"Hà Nội";"B9-201";""
20130009;"anhtuta";"nam";"1995-08-05";"dtvt";58;"Thanh Oai";"B10-211";""
20130010;"Sôn gô ku";"nam";"1910-11-20";"ko rõ";1;"saiyan";"B10-312";""
20130011;"Sôn gô han";"nam";"1990-11-20";"toán tin";43;"saiyan";"B10-312";""
20130013;"Sôn gô tên";"nam";"1994-11-20";"cntt";47;"saiyan";"B10-312";""
20130014;"Lich Ten";"nam";"1994-01-27";"cntt";47;"saiyan";"B10-312";""
20130098;"Thái Minh Đức";"nam";"1995-01-05";"đtvt";58;"hà nội";"B9-103";""
20130111;"anht";"nam";"1995-08-05";"dtvt";58;"Thanh Oai";"B10-211";""
20132001;"trần văn toàn";"nam";"1995-08-05";"dtvt";58;"Quy Nhơn";"B9-201";""
20134509;"Tạ Anh Tú";"nam";"1995-11-05";"đtvt";58;"Hà Tây";"B9-201";""
20134511;"nguyễn văn a";"nam";"1995-10-13";"đtvt";58;"Hà Nam";"B6-101";""
20134517;"Tạ văn dũng";"nam";"1995-11-05";"đtvt";58;"Hà Tây";"B9-101";""
20134523;"Tạ Văn Tú";"nam";"1995-10-17";"đtvt";58;"Hà Tây";"B6-101";""
20134551;"Tạ Tuấn";"nam";"1995-11-22";"đtvt";58;"Hà Tĩnh";"B6-101";""
20134555;"Tạ văn a";"nam";"1995-11-19";"đtvt";58;"Hà Tây";"B6-101";""
20140001;"Bill Gate";"nam";"1965-08-05";"cntt";28;"New York";"B10-211";""
20140002;"Lê Phương Anh";"nữ";"1995-10-05";"sư phạm";58;"Tam Hưng";"B10-211";""
20140123;"Trần Phương Anh";"nữ";"1995-10-02";"sư phạm";58;"Cà Mau";"B9-103";""
